tm,wptn,z,stcd,stnm,www,rvnm
1786384800000,5,89.4,61802600,王家营(三),2,汉江
1786388400000,6,89.4,61802600,王家营(三),2,汉江
1786392000000,6,89.4,61802600,王家营(三),2,汉江
1786395600000,5,89.41,61802600,王家营(三),2,汉江
1786399200000,5,89.42,61802600,王家营(三),2,汉江
1786402800000,6,89.42,61802600,王家营(三),2,汉江
1786413600000,4,89.42,61802600,王家营(三),2,汉江
1786420800000,4,89.41,61802600,王家营(三),2,汉江
1786424400000,5,89.44,61802600,王家营(三),2,汉江
1786428000000,6,89.44,61802600,王家营(三),2,汉江
1786431600000,4,89.41,61802600,王家营(三),2,汉江
1786438800000,5,89.46,61802600,王家营(三),2,汉江
1786442400000,5,89.47,61802600,王家营(三),2,汉江
1786446000000,5,89.48,61802600,王家营(三),2,汉江
1786453200000,5,89.51,61802600,王家营(三),2,汉江
1786456800000,5,89.53,61802600,王家营(三),2,汉江
1786460400000,5,89.56,61802600,王家营(三),2,汉江
1786464000000,5,89.58,61802600,王家营(三),2,汉江
1786467600000,5,89.61,61802600,王家营(三),2,汉江
1786471200000,6,89.61,61802600,王家营(三),2,汉江
1786474800000,5,89.64,61802600,王家营(三),2,汉江
1786478400000,5,89.65,61802600,王家营(三),2,汉江
1786482000000,6,89.65,61802600,王家营(三),2,汉江
1786485600000,6,89.65,61802600,王家营(三),2,汉江
1786489200000,6,89.65,61802600,王家营(三),2,汉江
1786492800000,6,89.65,61802600,王家营(三),2,汉江
1786503600000,4,89.26,61802600,王家营(三),2,汉江
1786507200000,4,89.21,61802600,王家营(三),2,汉江
1786514400000,4,89.12,61802600,王家营(三),2,汉江
1786521600000,4,89.05,61802600,王家营(三),2,汉江
1786525200000,4,89.01,61802600,王家营(三),2,汉江
1786528800000,4,88.98,61802600,王家营(三),2,汉江
1786532400000,6,88.98,61802600,王家营(三),2,汉江
1786536000000,4,88.97,61802600,王家营(三),2,汉江
1786543200000,6,88.97,61802600,王家营(三),2,汉江
1786546800000,6,88.97,61802600,王家营(三),2,汉江
1786550400000,6,88.97,61802600,王家营(三),2,汉江
1786554000000,6,88.97,61802600,王家营(三),2,汉江
1786557600000,6,88.97,61802600,王家营(三),2,汉江
1786561200000,6,88.97,61802600,王家营(三),2,汉江
1786564800000,6,88.97,61802600,王家营(三),2,汉江
1786568400000,6,88.97,61802600,王家营(三),2,汉江
1786572000000,6,88.97,61802600,王家营(三),2,汉江
1786575600000,6,88.97,61802600,王家营(三),2,汉江
1786579200000,6,88.97,61802600,王家营(三),2,汉江
1786590000000,6,88.97,61802600,王家营(三),2,汉江
1786597200000,6,88.97,61802600,王家营(三),2,汉江
1786600800000,6,88.97,61802600,王家营(三),2,汉江
1786608000000,6,88.97,61802600,王家营(三),2,汉江
1786611600000,6,88.97,61802600,王家营(三),2,汉江
1786615200000,5,89.19,61802600,王家营(三),2,汉江
1786618800000,5,89.33,61802600,王家营(三),2,汉江
1786622400000,5,89.37,61802600,王家营(三),2,汉江
1786629600000,5,89.39,61802600,王家营(三),2,汉江
1786633200000,5,89.4,61802600,王家营(三),2,汉江
1786636800000,5,89.42,61802600,王家营(三),2,汉江
1786640400000,4,89.41,61802600,王家营(三),2,汉江
1786644000000,5,89.42,61802600,王家营(三),2,汉江
1786647600000,6,89.42,61802600,王家营(三),2,汉江
1786651200000,6,89.42,61802600,王家营(三),2,汉江
1786654800000,6,89.42,61802600,王家营(三),2,汉江
1786658400000,6,89.42,61802600,王家营(三),2,汉江
1786662000000,5,89.43,61802600,王家营(三),2,汉江
1786665600000,6,89.43,61802600,王家营(三),2,汉江
1786676400000,6,89.43,61802600,王家营(三),2,汉江
1786683600000,6,89.44,61802600,王家营(三),2,汉江
1786687200000,6,89.44,61802600,王家营(三),2,汉江
1786690800000,6,89.44,61802600,王家营(三),2,汉江
1786698000000,5,89.45,61802600,王家营(三),2,汉江
1786701600000,4,89.44,61802600,王家营(三),2,汉江
1786705200000,5,89.45,61802600,王家营(三),2,汉江
1786708800000,6,89.45,61802600,王家营(三),2,汉江
1786712400000,6,89.45,61802600,王家营(三),2,汉江
1786719600000,5,89.46,61802600,王家营(三),2,汉江
1786723200000,4,89.45,61802600,王家营(三),2,汉江
1786726800000,5,89.47,61802600,王家营(三),2,汉江
1786730400000,6,89.47,61802600,王家营(三),2,汉江
1786734000000,6,89.47,61802600,王家营(三),2,汉江
1786737600000,6,89.47,61802600,王家营(三),2,汉江
1786741200000,5,89.48,61802600,王家营(三),2,汉江
1786744800000,6,89.48,61802600,王家营(三),2,汉江
1786748400000,5,89.49,61802600,王家营(三),2,汉江
1786755600000,6,89.49,61802600,王家营(三),2,汉江
1786762800000,5,89.5,61802600,王家营(三),2,汉江
1786766400000,6,89.5,61802600,王家营(三),2,汉江
1786770000000,5,89.51,61802600,王家营(三),2,汉江
1786773600000,5,89.52,61802600,王家营(三),2,汉江
1786777200000,4,89.51,61802600,王家营(三),2,汉江
1786780800000,6,89.51,61802600,王家营(三),2,汉江
1786784400000,5,89.53,61802600,王家营(三),2,汉江
1786788000000,6,89.53,61802600,王家营(三),2,汉江
1786791600000,6,89.53,61802600,王家营(三),2,汉江
1786795200000,6,89.53,61802600,王家营(三),2,汉江
1786798800000,5,89.54,61802600,王家营(三),2,汉江
1786802400000,4,89.53,61802600,王家营(三),2,汉江
1786806000000,5,89.54,61802600,王家营(三),2,汉江
1786809600000,6,89.54,61802600,王家营(三),2,汉江
1786813200000,6,89.54,61802600,王家营(三),2,汉江
1786816800000,5,89.55,61802600,王家营(三),2,汉江
1786820400000,6,89.55,61802600,王家营(三),2,汉江
1786824000000,6,89.55,61802600,王家营(三),2,汉江
1786827600000,5,89.56,61802600,王家营(三),2,汉江
1786831200000,4,89.55,61802600,王家营(三),2,汉江
1786834800000,5,89.56,61802600,王家营(三),2,汉江
1786842000000,4,89.55,61802600,王家营(三),2,汉江
1786849200000,6,89.56,61802600,王家营(三),2,汉江
1786852800000,6,89.56,61802600,王家营(三),2,汉江
1786856400000,6,89.56,61802600,王家营(三),2,汉江
1786860000000,6,89.56,61802600,王家营(三),2,汉江
1786863600000,6,89.56,61802600,王家营(三),2,汉江
1786867200000,6,89.56,61802600,王家营(三),2,汉江
1786870800000,6,89.56,61802600,王家营(三),2,汉江
1786874400000,4,89.55,61802600,王家营(三),2,汉江
1786878000000,5,89.56,61802600,王家营(三),2,汉江
1786881600000,4,89.55,61802600,王家营(三),2,汉江
1786885200000,6,89.55,61802600,王家营(三),2,汉江
1786888800000,6,89.55,61802600,王家营(三),2,汉江
1786892400000,6,89.55,61802600,王家营(三),2,汉江
1786896000000,4,89.54,61802600,王家营(三),2,汉江
1786899600000,5,89.55,61802600,王家营(三),2,汉江
1786903200000,4,89.54,61802600,王家营(三),2,汉江
1786906800000,6,89.54,61802600,王家营(三),2,汉江
1786910400000,6,89.54,61802600,王家营(三),2,汉江
1786914000000,5,89.56,61802600,王家营(三),2,汉江
1786917600000,4,89.54,61802600,王家营(三),2,汉江
1786921200000,6,89.54,61802600,王家营(三),2,汉江
1786928400000,5,89.56,61802600,王家营(三),2,汉江
1786935600000,5,89.56,61802600,王家营(三),2,汉江
1786939200000,4,89.52,61802600,王家营(三),2,汉江
1786942800000,5,89.54,61802600,王家营(三),2,汉江
1786950000000,4,89.54,61802600,王家营(三),2,汉江
1786953600000,5,89.55,61802600,王家营(三),2,汉江
1786957200000,4,89.54,61802600,王家营(三),2,汉江
1786960800000,4,89.53,61802600,王家营(三),2,汉江
1786964400000,5,89.54,61802600,王家营(三),2,汉江
1786971600000,6,89.55,61802600,王家营(三),2,汉江
1786975200000,6,89.55,61802600,王家营(三),2,汉江
1786978800000,5,89.56,61802600,王家营(三),2,汉江
1786982400000,4,89.54,61802600,王家营(三),2,汉江
1786986000000,5,89.56,61802600,王家营(三),2,汉江
1786989600000,4,89.52,61802600,王家营(三),2,汉江
1786993200000,5,89.57,61802600,王家营(三),2,汉江
1786996800000,4,89.55,61802600,王家营(三),2,汉江
1787000400000,5,89.56,61802600,王家营(三),2,汉江
1787004000000,4,89.54,61802600,王家营(三),2,汉江
1787007600000,4,89.53,61802600,王家营(三),2,汉江
1787014800000,5,89.55,61802600,王家营(三),2,汉江
1787022000000,4,89.55,61802600,王家营(三),2,汉江
1787025600000,4,89.54,61802600,王家营(三),2,汉江
1787029200000,6,89.54,61802600,王家营(三),2,汉江
1787036400000,4,89.54,61802600,王家营(三),2,汉江
1787040000000,5,89.56,61802600,王家营(三),2,汉江
1787043600000,6,89.56,61802600,王家营(三),2,汉江
1787047200000,4,89.54,61802600,王家营(三),2,汉江
1787050800000,5,89.55,61802600,王家营(三),2,汉江
1787058000000,6,89.56,61802600,王家营(三),2,汉江
1787061600000,6,89.56,61802600,王家营(三),2,汉江
1787065200000,4,89.55,61802600,王家营(三),2,汉江
1787068800000,6,89.55,61802600,王家营(三),2,汉江
1787072400000,4,89.54,61802600,王家营(三),2,汉江
1787076000000,5,89.56,61802600,王家营(三),2,汉江
1787079600000,6,89.56,61802600,王家营(三),2,汉江
1787083200000,6,89.56,61802600,王家营(三),2,汉江
1787086800000,4,89.55,61802600,王家营(三),2,汉江
1787090400000,4,89.52,61802600,王家营(三),2,汉江
1787094000000,5,89.56,61802600,王家营(三),2,汉江
1787101200000,6,89.55,61802600,王家营(三),2,汉江
1787108400000,5,89.55,61802600,王家营(三),2,汉江
1787112000000,5,89.57,61802600,王家营(三),2,汉江
1787115600000,6,89.57,61802600,王家营(三),2,汉江
1787119200000,4,89.55,61802600,王家营(三),2,汉江
1787122800000,5,89.56,61802600,王家营(三),2,汉江
1787126400000,6,89.56,61802600,王家营(三),2,汉江
1787130000000,5,89.57,61802600,王家营(三),2,汉江
1787133600000,4,89.56,61802600,王家营(三),2,汉江
1787137200000,4,89.54,61802600,王家营(三),2,汉江
1787140800000,5,89.57,61802600,王家营(三),2,汉江
1787144400000,4,89.56,61802600,王家营(三),2,汉江
1787148000000,4,89.55,61802600,王家营(三),2,汉江
1787151600000,5,89.56,61802600,王家营(三),2,汉江
1787155200000,6,89.56,61802600,王家营(三),2,汉江
1787158800000,6,89.56,61802600,王家营(三),2,汉江
1787162400000,6,89.56,61802600,王家营(三),2,汉江
1787166000000,6,89.56,61802600,王家营(三),2,汉江
1787169600000,4,89.53,61802600,王家营(三),2,汉江
1787173200000,5,89.56,61802600,王家营(三),2,汉江
1787176800000,6,89.56,61802600,王家营(三),2,汉江
1787180400000,4,89.54,61802600,王家营(三),2,汉江
1787187600000,6,89.56,61802600,王家营(三),2,汉江
1787194800000,4,89.55,61802600,王家营(三),2,汉江
1787198400000,5,89.59,61802600,王家营(三),2,汉江
1787202000000,4,89.56,61802600,王家营(三),2,汉江
1787205600000,6,89.56,61802600,王家营(三),2,汉江
1787209200000,6,89.56,61802600,王家营(三),2,汉江
1787212800000,6,89.56,61802600,王家营(三),2,汉江
1787216400000,5,89.57,61802600,王家营(三),2,汉江
1787220000000,4,89.56,61802600,王家营(三),2,汉江
1787223600000,5,89.57,61802600,王家营(三),2,汉江
1787227200000,6,89.57,61802600,王家营(三),2,汉江
1787230800000,4,89.56,61802600,王家营(三),2,汉江
1787234400000,4,89.54,61802600,王家营(三),2,汉江
1787238000000,5,89.56,61802600,王家营(三),2,汉江
1787241600000,4,89.54,61802600,王家营(三),2,汉江
1787245200000,5,89.57,61802600,王家营(三),2,汉江
1787248800000,4,89.56,61802600,王家营(三),2,汉江
1787252400000,6,89.56,61802600,王家营(三),2,汉江
1787256000000,6,89.56,61802600,王家营(三),2,汉江
1787259600000,4,89.54,61802600,王家营(三),2,汉江
1787263200000,6,89.54,61802600,王家营(三),2,汉江
1787266800000,5,89.55,61802600,王家营(三),2,汉江
