q,rvnm,stcd,stnm,tm,wptn,z
12800,长江干流,60105400,寸滩,1785456000000,5,165.090
13800,长江干流,60105400,寸滩,1785517200000,5,165.640
13800,长江干流,60105400,寸滩,1785520800000,5,165.680
14100,长江干流,60105400,寸滩,1785528000000,5,165.830
14300,长江干流,60105400,寸滩,1785531600000,5,165.970
14700,长江干流,60105400,寸滩,1785535200000,5,166.160
15200,长江干流,60105400,寸滩,1785538800000,5,166.390
16300,长江干流,60105400,寸滩,1785542400000,5,166.620
16900,长江干流,60105400,寸滩,1785546000000,5,166.860
17400,长江干流,60105400,寸滩,1785556800000,5,167.100
17400,长江干流,60105400,寸滩,1785567600000,5,167.120
17600,长江干流,60105400,寸滩,1785574800000,5,167.220
17800,长江干流,60105400,寸滩,1785578400000,5,167.320
18500,长江干流,60105400,寸滩,1785585600000,5,167.650
18900,长江干流,60105400,寸滩,1785589200000,5,167.870
19900,长江干流,60105400,寸滩,1785596400000,5,168.300
20300,长江干流,60105400,寸滩,1785600000000,5,168.510
20700,长江干流,60105400,寸滩,1785603600000,5,168.700
21100,长江干流,60105400,寸滩,1785607200000,5,168.880
21500,长江干流,60105400,寸滩,1785610800000,5,169.040
22100,长江干流,60105400,寸滩,1785618000000,5,169.340
22300,长江干流,60105400,寸滩,1785621600000,5,169.450
22600,长江干流,60105400,寸滩,1785625200000,5,169.590
23100,长江干流,60105400,寸滩,1785628800000,5,169.690
23700,长江干流,60105400,寸滩,1785643200000,5,169.950
23900,长江干流,60105400,寸滩,1785654000000,5,170.060
24200,长江干流,60105400,寸滩,1785661200000,5,170.160
24300,长江干流,60105400,寸滩,1785664800000,5,170.190
24500,长江干流,60105400,寸滩,1785672000000,5,170.280
24700,长江干流,60105400,寸滩,1785675600000,5,170.380
25100,长江干流,60105400,寸滩,1785682800000,5,170.530
25200,长江干流,60105400,寸滩,1785686400000,5,170.600
25500,长江干流,60105400,寸滩,1785690000000,5,170.690
25600,长江干流,60105400,寸滩,1785693600000,5,170.760
25800,长江干流,60105400,寸滩,1785697200000,5,170.850
26200,长江干流,60105400,寸滩,1785704400000,5,170.980
26400,长江干流,60105400,寸滩,1785708000000,5,171.060
26500,长江干流,60105400,寸滩,1785711600000,5,171.120
26700,长江干流,60105400,寸滩,1785715200000,5,171.200
26800,长江干流,60105400,寸滩,1785718800000,5,171.230
27000,长江干流,60105400,寸滩,1785729600000,5,171.330
27500,长江干流,60105400,寸滩,1785744000000,5,171.550
28000,长江干流,60105400,寸滩,1785754800000,5,171.770
28600,长江干流,60105400,寸滩,1785769200000,5,172.060
28700,长江干流,60105400,寸滩,1785776400000,5,172.200
28800,长江干流,60105400,寸滩,1785780000000,5,172.280
29000,长江干流,60105400,寸滩,1785787200000,5,172.390
29000,长江干流,60105400,寸滩,1785790800000,5,172.450
29100,长江干流,60105400,寸滩,1785794400000,5,172.510
29100,长江干流,60105400,寸滩,1785801600000,5,172.520
28400,长江干流,60105400,寸滩,1785812400000,4,172.470
28000,长江干流,60105400,寸滩,1785823200000,4,172.290
27400,长江干流,60105400,寸滩,1785834000000,4,172.010
27200,长江干流,60105400,寸滩,1785841200000,4,171.900
27000,长江干流,60105400,寸滩,1785848400000,4,171.820
26800,长江干流,60105400,寸滩,1785855600000,4,171.750
26700,长江干流,60105400,寸滩,1785862800000,4,171.690
26600,长江干流,60105400,寸滩,1785870000000,4,171.650
26500,长江干流,60105400,寸滩,1785877200000,4,171.630
26400,长江干流,60105400,寸滩,1785880800000,4,171.600
26400,长江干流,60105400,寸滩,1785884400000,6,171.600
26300,长江干流,60105400,寸滩,1785888000000,4,171.540
26200,长江干流,60105400,寸滩,1785891600000,4,171.510
25700,长江干流,60105400,寸滩,1785902400000,4,171.310
23700,长江干流,60105400,寸滩,1785913200000,4,170.940
22600,长江干流,60105400,寸滩,1785924000000,4,170.470
21900,长江干流,60105400,寸滩,1785931200000,4,170.170
21100,长江干流,60105400,寸滩,1785938400000,4,169.820
20500,长江干流,60105400,寸滩,1785945600000,4,169.520
19900,长江干流,60105400,寸滩,1785952800000,4,169.220
19700,长江干流,60105400,寸滩,1785956400000,4,169.080
19300,长江干流,60105400,寸滩,1785963600000,4,168.870
19100,长江干流,60105400,寸滩,1785967200000,4,168.780
19000,长江干流,60105400,寸滩,1785970800000,4,168.710
18800,长江干流,60105400,寸滩,1785974400000,4,168.620
18700,长江干流,60105400,寸滩,1785978000000,4,168.550
18400,长江干流,60105400,寸滩,1785988800000,4,168.380
17900,长江干流,60105400,寸滩,1785999600000,4,168.120
17600,长江干流,60105400,寸滩,1786010400000,4,167.930
17400,长江干流,60105400,寸滩,1786017600000,4,167.800
17200,长江干流,60105400,寸滩,1786024800000,4,167.660
16600,长江干流,60105400,寸滩,1786060800000,4,167.340
16400,长江干流,60105400,寸滩,1786071600000,4,167.210
16300,长江干流,60105400,寸滩,1786078800000,4,167.140
16300,长江干流,60105400,寸滩,1786082400000,4,167.110
16100,长江干流,60105400,寸滩,1786089600000,4,167.010
15700,长江干流,60105400,寸滩,1786093200000,4,166.950
15600,长江干流,60105400,寸滩,1786096800000,4,166.880
15500,长江干流,60105400,寸滩,1786100400000,4,166.800
15200,长江干流,60105400,寸滩,1786107600000,4,166.620
15100,长江干流,60105400,寸滩,1786111200000,4,166.560
15000,长江干流,60105400,寸滩,1786114800000,4,166.530
15000,长江干流,60105400,寸滩,1786118400000,4,166.480
14900,长江干流,60105400,寸滩,1786122000000,4,166.440
14900,长江干流,60105400,寸滩,1786125600000,4,166.430
14900,长江干流,60105400,寸滩,1786129200000,4,166.420
14900,长江干流,60105400,寸滩,1786132800000,6,166.420
14900,长江干流,60105400,寸滩,1786136400000,4,166.410
14800,长江干流,60105400,寸滩,1786140000000,4,166.390
14800,长江干流,60105400,寸滩,1786143600000,4,166.380
14800,长江干流,60105400,寸滩,1786147200000,4,166.350
14700,长江干流,60105400,寸滩,1786154400000,4,166.300
14600,长江干流,60105400,寸滩,1786158000000,4,166.240
14500,长江干流,60105400,寸滩,1786165200000,4,166.160
14400,长江干流,60105400,寸滩,1786172400000,4,166.110
14300,长江干流,60105400,寸滩,1786176000000,4,166.080
14300,长江干流,60105400,寸滩,1786179600000,5,166.090
14400,长江干流,60105400,寸滩,1786183200000,5,166.100
14500,长江干流,60105400,寸滩,1786186800000,5,166.160
14600,长江干流,60105400,寸滩,1786194000000,5,166.230
14700,长江干流,60105400,寸滩,1786197600000,5,166.290
14700,长江干流,60105400,寸滩,1786201200000,5,166.300
14800,长江干流,60105400,寸滩,1786204800000,5,166.370
14800,长江干流,60105400,寸滩,1786208400000,5,166.400
14900,长江干流,60105400,寸滩,1786212000000,5,166.410
14900,长江干流,60105400,寸滩,1786215600000,5,166.460
15000,长江干流,60105400,寸滩,1786219200000,5,166.480
15000,长江干流,60105400,寸滩,1786222800000,5,166.510
15100,长江干流,60105400,寸滩,1786226400000,5,166.540
15100,长江干流,60105400,寸滩,1786230000000,5,166.560
15100,长江干流,60105400,寸滩,1786233600000,6,166.560
15100,长江干流,60105400,寸滩,1786237200000,5,166.57
15100,长江干流,60105400,寸滩,1786240800000,5,166.580
15100,长江干流,60105400,寸滩,1786244400000,4,166.550
15000,长江干流,60105400,寸滩,1786248000000,4,166.53
15000,长江干流,60105400,寸滩,1786251600000,4,166.500
15000,长江干流,60105400,寸滩,1786255200000,4,166.48
14900,长江干流,60105400,寸滩,1786258800000,4,166.410
14800,长江干流,60105400,寸滩,1786262400000,4,166.380
14800,长江干流,60105400,寸滩,1786266000000,4,166.360
14700,长江干流,60105400,寸滩,1786269600000,4,166.310
14600,长江干流,60105400,寸滩,1786273200000,4,166.250
14500,长江干流,60105400,寸滩,1786276800000,4,166.21
14500,长江干流,60105400,寸滩,1786280400000,4,166.180
14400,长江干流,60105400,寸滩,1786284000000,4,166.140
14400,长江干流,60105400,寸滩,1786287600000,4,166.110
14400,长江干流,60105400,寸滩,1786291200000,4,166.100
14300,长江干流,60105400,寸滩,1786294800000,4,166.070
14300,长江干流,60105400,寸滩,1786298400000,6,166.070
14300,长江干流,60105400,寸滩,1786302000000,5,166.080
14300,长江干流,60105400,寸滩,1786305600000,4,166.070
14300,长江干流,60105400,寸滩,1786309200000,5,166.080
14300,长江干流,60105400,寸滩,1786312800000,6,166.080
14300,长江干流,60105400,寸滩,1786316400000,4,166.050
14200,长江干流,60105400,寸滩,1786320000000,4,166.020
14200,长江干流,60105400,寸滩,1786327200000,4,165.970
14100,长江干流,60105400,寸滩,1786330800000,4,165.93
14000,长江干流,60105400,寸滩,1786334400000,4,165.900
13900,长江干流,60105400,寸滩,1786341600000,4,165.810
13900,长江干流,60105400,寸滩,1786345200000,4,165.79
13700,长江干流,60105400,寸滩,1786348800000,4,165.710
13700,长江干流,60105400,寸滩,1786352400000,4,165.670
13600,长江干流,60105400,寸滩,1786356000000,4,165.65
13500,长江干流,60105400,寸滩,1786359600000,4,165.590
13400,长江干流,60105400,寸滩,1786363200000,4,165.540
13400,长江干流,60105400,寸滩,1786366800000,4,165.52
13300,长江干流,60105400,寸滩,1786370400000,4,165.480
13300,长江干流,60105400,寸滩,1786374000000,4,165.460
13200,长江干流,60105400,寸滩,1786377600000,4,165.420
13200,长江干流,60105400,寸滩,1786381200000,4,165.370
13200,长江干流,60105400,寸滩,1786384800000,6,165.37
13100,长江干流,60105400,寸滩,1786388400000,4,165.340
13100,长江干流,60105400,寸滩,1786392000000,4,165.320
13000,长江干流,60105400,寸滩,1786395600000,4,165.280
13000,长江干流,60105400,寸滩,1786399200000,4,165.270
13000,长江干流,60105400,寸滩,1786402800000,4,165.250
12900,长江干流,60105400,寸滩,1786406400000,4,165.240
12900,长江干流,60105400,寸滩,1786410000000,4,165.22
12900,长江干流,60105400,寸滩,1786413600000,4,165.200
12900,长江干流,60105400,寸滩,1786417200000,5,165.21
12900,长江干流,60105400,寸滩,1786420800000,4,165.200
12200,长江干流,60105400,寸滩,1786424400000,5,165.210
12200,长江干流,60105400,寸滩,1786428000000,4,165.200
12200,长江干流,60105400,寸滩,1786431600000,5,165.210
