q,rvnm,stcd,stnm,tm,wptn,z
25300,长江干流,60111300,螺山,1785456000000,4,25.820
24800,长江干流,60111300,螺山,1785542400000,6,25.780
24600,长江干流,60111300,螺山,1785628800000,5,25.720
25200,长江干流,60111300,螺山,1785715200000,5,25.680
25300,长江干流,60111300,螺山,1785801600000,6,25.660
25900,长江干流,60111300,螺山,1785888000000,4,25.670
25800,长江干流,60111300,螺山,1785974400000,6,25.790
26600,长江干流,60111300,螺山,1786060800000,5,25.900
27000,长江干流,60111300,螺山,1786147200000,5,25.910
26400,长江干流,60111300,螺山,1786233600000,6,25.890
26200,长江干流,60111300,螺山,1786320000000,6,25.790
25200,长江干流,60111300,螺山,1786406400000,6,25.670
24400,长江干流,60111300,螺山,1786492800000,5,25.520
23800,长江干流,60111300,螺山,1786579200000,4,25.350
23700,长江干流,60111300,螺山,1786665600000,4,25.260
22500,长江干流,60111300,螺山,1786752000000,5,25.350
