rvnm,stcd,stnm,tm,wptn,z
长江干流,60111200,莲花塘,1788206400000,5,26.750
长江干流,60111200,莲花塘,1788220800000,5,26.770
长江干流,60111200,莲花塘,1788238800000,5,26.800
长江干流,60111200,莲花塘,1788256800000,6,26.770
长江干流,60111200,莲花塘,1788271200000,5,26.810
长江干流,60111200,莲花塘,1788285600000,6,26.850
长江干流,60111200,莲花塘,1788296400000,5,26.880
长江干流,60111200,莲花塘,1788303600000,5,26.900
长江干流,60111200,莲花塘,1788310800000,6,26.910
长江干流,60111200,莲花塘,1788328800000,6,26.910
长江干流,60111200,莲花塘,1788346800000,5,26.950
长江干流,60111200,莲花塘,1788361200000,4,26.930
长江干流,60111200,莲花塘,1788372000000,4,26.930
长江干流,60111200,莲花塘,1788382800000,6,26.950
长江干流,60111200,莲花塘,1788390000000,6,26.950
长江干流,60111200,莲花塘,1788397200000,4,26.920
长江干流,60111200,莲花塘,1788415200000,6,26.920
