q,tm,wptn,z,stcd,stnm,www,rvnm
720.0,1788206400000,5,56.08,61803451,余家湖,2,汉江
749.0,1788220800000,6,56.12,61803451,余家湖,2,汉江
802.0,1788238800000,5,56.19,61803451,余家湖,2,汉江
811.0,1788256800000,6,56.2,61803451,余家湖,2,汉江
819.0,1788274800000,6,56.21,61803451,余家湖,2,汉江
842.0,1788285600000,6,56.24,61803451,余家湖,2,汉江
834.0,1788296400000,6,56.23,61803451,余家湖,2,汉江
842.0,1788303600000,5,56.24,61803451,余家湖,2,汉江
827.0,1788310800000,4,56.22,61803451,余家湖,2,汉江
630.0,1788328800000,4,55.95,61803451,余家湖,2,汉江
555.0,1788346800000,4,55.83,61803451,余家湖,2,汉江
548.0,1788361200000,6,55.82,61803451,余家湖,2,汉江
599.0,1788372000000,5,55.9,61803451,余家湖,2,汉江
787.0,1788382800000,5,56.17,61803451,余家湖,2,汉江
858.0,1788390000000,5,56.26,61803451,余家湖,2,汉江
907.0,1788397200000,5,56.32,61803451,余家湖,2,汉江
802.0,1788415200000,4,56.19,61803451,余家湖,2,汉江
630.0,1788433200000,4,55.95,61803451,余家湖,2,汉江
637.0,1788447600000,6,55.96,61803451,余家湖,2,汉江
643.0,1788458400000,5,55.97,61803451,余家湖,2,汉江
637.0,1788469200000,6,55.96,61803451,余家湖,2,汉江
637.0,1788476400000,6,55.96,61803451,余家湖,2,汉江
637.0,1788483600000,6,55.96,61803451,余家湖,2,汉江
727.0,1788501600000,5,56.09,61803451,余家湖,2,汉江
827.0,1788519600000,5,56.22,61803451,余家湖,2,汉江
850.0,1788534000000,5,56.25,61803451,余家湖,2,汉江
874.0,1788544800000,6,56.28,61803451,余家湖,2,汉江
842.0,1788555600000,4,56.24,61803451,余家湖,2,汉江
842.0,1788559200000,4,56.24,61803451,余家湖,2,汉江
834.0,1788566400000,6,56.23,61803451,余家湖,2,汉江
787.0,1788584400000,4,56.17,61803451,余家湖,2,汉江
692.0,1788598800000,4,56.04,61803451,余家湖,2,汉江
650.0,1788609600000,4,55.98,61803451,余家湖,2,汉江
643.0,1788624000000,4,55.97,61803451,余家湖,2,汉江
643.0,1788631200000,6,55.97,61803451,余家湖,2,汉江
643.0,1788638400000,6,55.97,61803451,余家湖,2,汉江
650.0,1788645600000,5,55.98,61803451,余家湖,2,汉江
650.0,1788649200000,6,55.98,61803451,余家湖,2,汉江
650.0,1788667200000,6,55.98,61803451,余家湖,2,汉江
657.0,1788681600000,5,55.99,61803451,余家湖,2,汉江
650.0,1788696000000,6,55.98,61803451,余家湖,2,汉江
657.0,1788710400000,5,55.99,61803451,余家湖,2,汉江
657.0,1788717600000,6,55.99,61803451,余家湖,2,汉江
657.0,1788724800000,6,55.99,61803451,余家湖,2,汉江
657.0,1788732000000,6,55.99,61803451,余家湖,2,汉江
657.0,1788739200000,6,55.99,61803451,余家湖,2,汉江
657.0,1788760800000,6,55.99,61803451,余家湖,2,汉江
657.0,1788782400000,6,55.99,61803451,余家湖,2,汉江
787.0,1788800400000,5,56.17,61803451,余家湖,2,汉江
811.0,1788814800000,6,56.2,61803451,余家湖,2,汉江
811.0,1788822000000,4,56.2,61803451,余家湖,2,汉江
811.0,1788829200000,4,56.2,61803451,余家湖,2,汉江
802.0,1788847200000,4,56.19,61803451,余家湖,2,汉江
630.0,1788865200000,4,55.95,61803451,余家湖,2,汉江
623.0,1788879600000,6,55.94,61803451,余家湖,2,汉江
605.0,1788944400000,4,55.91,61803451,余家湖,2,汉江
480.0,1788958800000,4,55.71,61803451,余家湖,2,汉江
492.0,1788987600000,5,55.73,61803451,余家湖,2,汉江
523.0,1788998400000,5,55.78,61803451,余家湖,2,汉江
643.0,1789012800000,5,55.97,61803451,余家湖,2,汉江
671.0,1789030800000,6,56.01,61803451,余家湖,2,汉江
685.0,1789045200000,5,56.03,61803451,余家湖,2,汉江
713.0,1789074000000,6,56.07,61803451,余家湖,2,汉江
706.0,1789084800000,6,56.06,61803451,余家湖,2,汉江
692.0,1789099200000,4,56.04,61803451,余家湖,2,汉江
671.0,1789117200000,4,56.01,61803451,余家湖,2,汉江
735.0,1789131600000,6,56.01,61803451,余家湖,2,汉江
735.0,1789164000000,6,56.01,61803451,余家湖,2,汉江
751.0,1789171200000,5,56.03,61803451,余家湖,2,汉江
885.0,1789185600000,5,56.2,61803451,余家湖,2,汉江
814.0,1789200000000,4,56.11,61803451,余家湖,2,汉江
775.0,1789214400000,6,56.06,61803451,余家湖,2,汉江
942.0,1789250400000,6,56.27,61803451,余家湖,2,汉江
