tm,wptn,z,stcd,stnm,www,rvnm
1788206400000,4,55.62,61803500,宜城,1,汉江
1788220800000,4,55.59,61803500,宜城,1,汉江
1788238800000,5,55.62,61803500,宜城,1,汉江
1788256800000,6,55.66,61803500,宜城,1,汉江
1788274800000,6,55.66,61803500,宜城,1,汉江
1788285600000,6,55.67,61803500,宜城,1,汉江
1788296400000,5,55.68,61803500,宜城,1,汉江
1788303600000,6,55.68,61803500,宜城,1,汉江
1788310800000,6,55.69,61803500,宜城,1,汉江
1788328800000,4,55.69,61803500,宜城,1,汉江
1788346800000,5,55.67,61803500,宜城,1,汉江
1788361200000,5,55.69,61803500,宜城,1,汉江
1788372000000,6,55.69,61803500,宜城,1,汉江
1788382800000,5,55.7,61803500,宜城,1,汉江
1788390000000,5,55.74,61803500,宜城,1,汉江
1788397200000,5,55.75,61803500,宜城,1,汉江
1788415200000,4,55.69,61803500,宜城,1,汉江
