oq,q,rvnm,stcd,stnm,tm,wptn,z
481,1760,汉江,61802700,丹江口水库,1788206400000,6,163.900
479,269,汉江,61802700,丹江口水库,1788220800000,6,163.890
479,730,汉江,61802700,丹江口水库,1788238800000,6,163.880
1660,625,汉江,61802700,丹江口水库,1788256800000,4,163.860
1260,578,汉江,61802700,丹江口水库,1788271200000,5,163.860
1030,2570,汉江,61802700,丹江口水库,1788285600000,5,163.880
486,977,汉江,61802700,丹江口水库,1788296400000,6,163.860
477,306,汉江,61802700,丹江口水库,1788303600000,4,163.850
456,664,汉江,61802700,丹江口水库,1788310800000,6,163.840
462,886,汉江,61802700,丹江口水库,1788328800000,6,163.850
1580,258,汉江,61802700,丹江口水库,1788346800000,4,163.830
1640,725,汉江,61802700,丹江口水库,1788361200000,4,163.810
453,1690,汉江,61802700,丹江口水库,1788372000000,5,163.830
448,1340,汉江,61802700,丹江口水库,1788379200000,6,163.830
444,885,汉江,61802700,丹江口水库,1788390000000,6,163.830
447,583,汉江,61802700,丹江口水库,1788397200000,4,163.810
464,405,汉江,61802700,丹江口水库,1788415200000,4,163.810
1650,430,汉江,61802700,丹江口水库,1788433200000,4,163.790
1660,661,汉江,61802700,丹江口水库,1788444000000,4,163.790
454,468,汉江,61802700,丹江口水库,1788458400000,4,163.780
455,1620,汉江,61802700,丹江口水库,1788469200000,5,163.810
453,574,汉江,61802700,丹江口水库,1788476400000,4,163.770
460,185,汉江,61802700,丹江口水库,1788483600000,4,163.770
452,486,汉江,61802700,丹江口水库,1788501600000,6,163.780
1720,586,汉江,61802700,丹江口水库,1788519600000,6,163.770
1120,1090,汉江,61802700,丹江口水库,1788530400000,5,163.760
928,2130,汉江,61802700,丹江口水库,1788544800000,4,163.770
457,1780,汉江,61802700,丹江口水库,1788552000000,5,163.780
459,677,汉江,61802700,丹江口水库,1788559200000,4,163.750
456,480,汉江,61802700,丹江口水库,1788566400000,5,163.770
460,1330,汉江,61802700,丹江口水库,1788584400000,5,163.780
1600,551,汉江,61802700,丹江口水库,1788598800000,4,163.730
1600,226,汉江,61802700,丹江口水库,1788609600000,5,163.740
1000,2780,汉江,61802700,丹江口水库,1788620400000,4,163.760
1650,2190,汉江,61802700,丹江口水库,1788627600000,4,163.750
559,678,汉江,61802700,丹江口水库,1788638400000,5,163.760
559,1440,汉江,61802700,丹江口水库,1788642000000,5,163.770
457,1630,汉江,61802700,丹江口水库,1788649200000,5,163.770
459,892,汉江,61802700,丹江口水库,1788667200000,5,163.770
468,804,汉江,61802700,丹江口水库,1788681600000,4,163.740
1610,756,汉江,61802700,丹江口水库,1788696000000,5,163.750
465,1970,汉江,61802700,丹江口水库,1788710400000,4,163.750
1460,684,汉江,61802700,丹江口水库,1788717600000,4,163.740
460,489,汉江,61802700,丹江口水库,1788724800000,5,163.740
461,888,汉江,61802700,丹江口水库,1788732000000,6,163.750
453,941,汉江,61802700,丹江口水库,1788739200000,4,163.750
457,819,汉江,61802700,丹江口水库,1788757200000,6,163.760
1340,482,汉江,61802700,丹江口水库,1788782400000,6,163.730
1590,1460,汉江,61802700,丹江口水库,1788800400000,4,163.740
563,1050,汉江,61802700,丹江口水库,1788814800000,5,163.760
457,1720,汉江,61802700,丹江口水库,1788822000000,4,163.760
456,1460,汉江,61802700,丹江口水库,1788829200000,4,163.750
464,496,汉江,61802700,丹江口水库,1788847200000,6,163.760
1080,168,汉江,61802700,丹江口水库,1788865200000,6,163.730
461,571,汉江,61802700,丹江口水库,1788879600000,4,163.720
1210,1040,汉江,61802700,丹江口水库,1788940800000,4,163.750
824,666,汉江,61802700,丹江口水库,1788958800000,4,163.730
739,1010,汉江,61802700,丹江口水库,1788994800000,4,163.760
448,691,汉江,61802700,丹江口水库,1789012800000,5,163.770
511,653,汉江,61802700,丹江口水库,1789027200000,4,163.730
1310,997,汉江,61802700,丹江口水库,1789045200000,5,163.760
734,550,汉江,61802700,丹江口水库,1789081200000,4,163.750
442,111,汉江,61802700,丹江口水库,1789099200000,5,163.750
627,943,汉江,61802700,丹江口水库,1789113600000,4,163.740
1710,518,汉江,61802700,丹江口水库,1789131600000,4,163.730
497,384,汉江,61802700,丹江口水库,1789167600000,6,163.720
441,108,汉江,61802700,丹江口水库,1789185600000,4,163.710
729,117,汉江,61802700,丹江口水库,1789200000000,4,163.700
1520,312,汉江,61802700,丹江口水库,1789214400000,4,163.680
